timestamp,fundingRate
2026-04-27 16:00:00.002,-0.00016472
2026-04-28 00:00:00.001,-6.223e-05
2026-04-28 08:00:00.000,9.371e-05
2026-04-28 16:00:00.004,-6.7e-07
2026-04-29 00:00:00.006,2.333e-05
2026-04-29 08:00:00.011,0.0001
2026-04-29 16:00:00.003,1.316e-05
2026-04-30 00:00:00.002,-3.55e-05
2026-04-30 08:00:00.000,4.915e-05
2026-04-30 16:00:00.000,-4.7e-06
2026-05-01 00:00:00.000,-4.942e-05
2026-05-01 08:00:00.005,0.0001
2026-05-01 16:00:00.000,0.0001
2026-05-02 00:00:00.006,4.238e-05
2026-05-02 08:00:00.000,-6.887e-05
2026-05-02 16:00:00.010,0.0001
2026-05-03 00:00:00.005,0.0001
2026-05-03 08:00:00.003,-2.423e-05
2026-05-03 16:00:00.000,0.0001
2026-05-04 00:00:00.000,0.0001
2026-05-04 08:00:00.000,0.0001
2026-05-04 16:00:00.003,2.897e-05
2026-05-05 00:00:00.000,1.168e-05
2026-05-05 08:00:00.011,0.0001
2026-05-05 16:00:00.000,0.0001
2026-05-06 00:00:00.010,0.0001
2026-05-06 08:00:00.000,0.0001
2026-05-06 16:00:00.002,0.0001
2026-05-07 00:00:00.000,0.0001
2026-05-07 08:00:00.000,0.0001
2026-05-07 16:00:00.004,0.0001
2026-05-08 00:00:00.003,9.571e-05
2026-05-08 08:00:00.002,4.588e-05
2026-05-08 16:00:00.003,0.0001
2026-05-09 00:00:00.000,0.0001
2026-05-09 08:00:00.001,0.0001
2026-05-09 16:00:00.002,5.625e-05
2026-05-10 00:00:00.003,-5.54e-05
2026-05-10 08:00:00.000,1.9e-07
2026-05-10 16:00:00.000,0.0001
2026-05-11 00:00:00.000,0.0001
2026-05-11 08:00:00.000,3.176e-05
2026-05-11 16:00:00.000,8.21e-06
2026-05-12 00:00:00.002,0.0001
2026-05-12 08:00:00.008,-1.114e-05
2026-05-12 16:00:00.000,-1.707e-05
2026-05-13 00:00:00.010,5.96e-06
2026-05-13 08:00:00.003,-8.65e-06
2026-05-13 16:00:00.001,-7.299e-05
2026-05-14 00:00:00.005,1.95e-05
2026-05-14 08:00:00.000,0.0001
2026-05-14 16:00:00.000,-7.9e-07
2026-05-15 00:00:00.000,8.854e-05
2026-05-15 08:00:00.016,-1.593e-05
2026-05-15 16:00:00.012,-0.0001172
2026-05-16 00:00:00.005,-7.8e-07
2026-05-16 08:00:00.000,-3.691e-05
2026-05-16 16:00:00.005,-8.207e-05
2026-05-17 00:00:00.000,6.343e-05
2026-05-17 08:00:00.010,2.659e-05
2026-05-17 16:00:00.009,-2.405e-05
2026-05-18 00:00:00.007,-8.074e-05
2026-05-18 08:00:00.002,2.544e-05
2026-05-18 16:00:00.007,-2.345e-05
2026-05-19 00:00:00.001,-8.96e-06
2026-05-19 08:00:00.001,0.0001
2026-05-19 16:00:00.009,-2.1e-07
2026-05-20 00:00:00.001,-2.998e-05
2026-05-20 08:00:00.006,9.479e-05
2026-05-20 16:00:00.000,3.463e-05
2026-05-21 00:00:00.001,-7.06e-06
2026-05-21 08:00:00.000,9.389e-05
2026-05-21 16:00:00.000,-6.791e-05
2026-05-22 00:00:00.000,0.0001
2026-05-22 08:00:00.004,-6.9e-06
2026-05-22 16:00:00.001,-1.345e-05
2026-05-23 00:00:00.009,-4.54e-05
2026-05-23 08:00:00.001,-7.245e-05
2026-05-23 16:00:00.003,7.461e-05
2026-05-24 00:00:00.011,5.359e-05
2026-05-24 08:00:00.008,0.0001
2026-05-24 16:00:00.000,-1.461e-05
2026-05-25 00:00:00.001,-8.175e-05
2026-05-25 08:00:00.001,3.379e-05
2026-05-25 16:00:00.001,0.0001
2026-05-26 00:00:00.000,0.0001
2026-05-26 08:00:00.003,-4.002e-05
2026-05-26 16:00:00.000,0.0001
2026-05-27 00:00:00.000,-7.182e-05
2026-05-27 08:00:00.004,3.905e-05
2026-05-27 16:00:00.009,2.057e-05
2026-05-28 00:00:00.001,-7.607e-05
2026-05-28 08:00:00.000,-0.00017526
2026-05-28 16:00:00.001,-2.085e-05
2026-05-29 00:00:00.000,1.548e-05
2026-05-29 08:00:00.001,6.369e-05
2026-05-29 16:00:00.008,6.4e-06
2026-05-30 00:00:00.000,-4.139e-05
2026-05-30 08:00:00.001,1.033e-05
2026-05-30 16:00:00.000,-5.918e-05
2026-05-31 00:00:00.000,-1.279e-05
2026-05-31 08:00:00.000,8.935e-05
2026-05-31 16:00:00.004,-1.431e-05
2026-06-01 00:00:00.001,-1.215e-05
2026-06-01 08:00:00.001,6.047e-05
2026-06-01 16:00:00.000,-4.339e-05
2026-06-02 00:00:00.000,7.827e-05
2026-06-02 08:00:00.000,-6.054e-05
2026-06-02 16:00:00.000,-0.00011681
2026-06-03 00:00:00.013,-5e-05
2026-06-03 08:00:00.000,3.389e-05
2026-06-03 16:00:00.001,0.0001
2026-06-04 00:00:00.009,2.755e-05
2026-06-04 08:00:00.000,2.351e-05
2026-06-04 16:00:00.003,-7.198e-05
2026-06-05 00:00:00.000,5.093e-05
2026-06-05 08:00:00.004,6.563e-05
2026-06-05 16:00:00.009,-7.397e-05
2026-06-06 00:00:00.000,-0.00012033
2026-06-06 08:00:00.000,3.246e-05
2026-06-06 16:00:00.000,-1.652e-05
2026-06-07 00:00:00.001,-4.899e-05
2026-06-07 08:00:00.000,-0.00011007
2026-06-07 16:00:00.000,-5.14e-05
2026-06-08 00:00:00.000,9.229e-05
2026-06-08 08:00:00.005,9.236e-05
2026-06-08 16:00:00.004,-7.662e-05
2026-06-09 00:00:00.000,-0.0001512
2026-06-09 08:00:00.000,-3.601e-05
2026-06-09 16:00:00.001,2.4e-07
2026-06-10 00:00:00.001,7.756e-05
2026-06-10 08:00:00.011,-1.117e-05
2026-06-10 16:00:00.009,1.016e-05
2026-06-11 00:00:00.000,2.6e-06
2026-06-11 08:00:00.004,0.0001
2026-06-11 16:00:00.000,0.0001
2026-06-12 00:00:00.000,7.502e-05
2026-06-12 08:00:00.000,-4.125e-05
2026-06-12 16:00:00.000,1.36e-06
2026-06-13 00:00:00.000,-4.053e-05
2026-06-13 08:00:00.007,3.089e-05
2026-06-13 16:00:00.002,8.502e-05
2026-06-14 00:00:00.005,-0.00013068
2026-06-14 08:00:00.009,-0.00015009
2026-06-14 16:00:00.000,-4.919e-05
2026-06-15 00:00:00.013,0.0001
2026-06-15 08:00:00.013,3.426e-05
2026-06-15 16:00:00.004,6.927e-05
2026-06-16 00:00:00.000,-0.00012001
2026-06-16 08:00:00.000,-8.616e-05
2026-06-16 16:00:00.001,-3.751e-05
2026-06-17 00:00:00.012,-0.00022646
2026-06-17 08:00:00.000,8.018e-05
2026-06-17 16:00:00.000,4.76e-05
2026-06-18 00:00:00.002,-3.545e-05
2026-06-18 08:00:00.000,-9.826e-05
2026-06-18 16:00:00.001,-1.681e-05
2026-06-19 00:00:00.005,7.168e-05
2026-06-19 08:00:00.001,-0.00028303
2026-06-19 16:00:00.001,-0.00010757
2026-06-20 00:00:00.001,-8.607e-05
2026-06-20 08:00:00.000,-0.00017062
2026-06-20 16:00:00.001,-9.793e-05
2026-06-21 00:00:00.000,-6.377e-05
2026-06-21 08:00:00.000,-0.0002929
2026-06-21 16:00:00.000,-8.268e-05
2026-06-22 00:00:00.000,-0.00010834
2026-06-22 08:00:00.000,2.523e-05
2026-06-22 16:00:00.002,-0.00010145
2026-06-23 00:00:00.003,-0.00026358
2026-06-23 08:00:00.005,-0.00013072
2026-06-23 16:00:00.002,-0.00012289
2026-06-24 00:00:00.005,-8.589e-05
2026-06-24 08:00:00.005,-6.258e-05
2026-06-24 16:00:00.003,-0.00018974
2026-06-25 00:00:00.000,-0.00020945
2026-06-25 08:00:00.000,-7.798e-05
2026-06-25 16:00:00.000,-4.737e-05
2026-06-26 00:00:00.010,-5.087e-05
2026-06-26 08:00:00.002,8.827e-05
2026-06-26 16:00:00.000,6.233e-05
2026-06-27 00:00:00.000,3.84e-06
2026-06-27 08:00:00.000,2.091e-05
2026-06-27 16:00:00.009,-8.96e-06
2026-06-28 00:00:00.000,-0.00010374
