timestamp,fundingRate
2026-04-27 16:00:00.002,-7.593e-05
2026-04-28 00:00:00.001,-0.00016104
2026-04-28 08:00:00.000,-0.00011678
2026-04-28 16:00:00.004,2.5e-07
2026-04-29 00:00:00.006,2.842e-05
2026-04-29 08:00:00.011,4.666e-05
2026-04-29 16:00:00.003,4.782e-05
2026-04-30 00:00:00.002,-6.092e-05
2026-04-30 08:00:00.000,-4.636e-05
2026-04-30 16:00:00.000,-7.717e-05
2026-05-01 00:00:00.000,-4e-05
2026-05-01 08:00:00.005,-1.877e-05
2026-05-01 16:00:00.000,-2.131e-05
2026-05-02 00:00:00.006,-4.36e-06
2026-05-02 08:00:00.000,-3.82e-05
2026-05-02 16:00:00.010,-3.88e-06
2026-05-03 00:00:00.005,3.52e-05
2026-05-03 08:00:00.003,-1.628e-05
2026-05-03 16:00:00.000,8.747e-05
2026-05-04 00:00:00.000,4.305e-05
2026-05-04 08:00:00.000,8.648e-05
2026-05-04 16:00:00.003,-2.09e-06
2026-05-05 00:00:00.000,-1.957e-05
2026-05-05 08:00:00.011,-2.41e-05
2026-05-05 16:00:00.000,-6.52e-05
2026-05-06 00:00:00.010,-2.041e-05
2026-05-06 08:00:00.000,-9.447e-05
2026-05-06 16:00:00.002,-5.114e-05
2026-05-07 00:00:00.000,-6.585e-05
2026-05-07 08:00:00.000,-0.00011993
2026-05-07 16:00:00.004,-4.319e-05
2026-05-08 00:00:00.003,-9.68e-06
2026-05-08 08:00:00.002,-2.849e-05
2026-05-08 16:00:00.003,-3.358e-05
2026-05-09 00:00:00.000,6.199e-05
2026-05-09 08:00:00.001,4.314e-05
2026-05-09 16:00:00.002,8.76e-05
2026-05-10 00:00:00.003,0.0001
2026-05-10 08:00:00.000,8.268e-05
2026-05-10 16:00:00.000,6.714e-05
2026-05-11 00:00:00.000,7.463e-05
2026-05-11 08:00:00.000,1.995e-05
2026-05-11 16:00:00.000,3.355e-05
2026-05-12 00:00:00.002,3.946e-05
2026-05-12 08:00:00.008,7.08e-06
2026-05-12 16:00:00.000,3.956e-05
2026-05-13 00:00:00.010,1.323e-05
2026-05-13 08:00:00.003,5.046e-05
2026-05-13 16:00:00.001,5.45e-06
2026-05-14 00:00:00.005,5.942e-05
2026-05-14 08:00:00.000,5.526e-05
2026-05-14 16:00:00.000,3.946e-05
2026-05-15 00:00:00.000,-6.93e-06
2026-05-15 08:00:00.016,3.88e-06
2026-05-15 16:00:00.012,1.397e-05
2026-05-16 00:00:00.005,7.065e-05
2026-05-16 08:00:00.000,4.496e-05
2026-05-16 16:00:00.005,6.508e-05
2026-05-17 00:00:00.000,7.161e-05
2026-05-17 08:00:00.010,4.855e-05
2026-05-17 16:00:00.009,5.341e-05
2026-05-18 00:00:00.007,1.925e-05
2026-05-18 08:00:00.002,6.52e-06
2026-05-18 16:00:00.007,5.159e-05
2026-05-19 00:00:00.001,0.0001
2026-05-19 08:00:00.001,5.687e-05
2026-05-19 16:00:00.009,3.588e-05
2026-05-20 00:00:00.001,5.523e-05
2026-05-20 08:00:00.006,3.051e-05
2026-05-20 16:00:00.000,5.29e-05
2026-05-21 00:00:00.001,5.867e-05
2026-05-21 08:00:00.000,2.532e-05
2026-05-21 16:00:00.000,3.837e-05
2026-05-22 00:00:00.000,4.926e-05
2026-05-22 08:00:00.004,3.093e-05
2026-05-22 16:00:00.001,5.943e-05
2026-05-23 00:00:00.009,5.72e-05
2026-05-23 08:00:00.001,4.466e-05
2026-05-23 16:00:00.003,6.36e-05
2026-05-24 00:00:00.011,8.02e-05
2026-05-24 08:00:00.008,8.039e-05
2026-05-24 16:00:00.000,4.195e-05
2026-05-25 00:00:00.001,5.359e-05
2026-05-25 08:00:00.001,5.508e-05
2026-05-25 16:00:00.001,3.249e-05
2026-05-26 00:00:00.000,3.458e-05
2026-05-26 08:00:00.003,3.793e-05
2026-05-26 16:00:00.000,3.408e-05
2026-05-27 00:00:00.000,7.351e-05
2026-05-27 08:00:00.004,3.072e-05
2026-05-27 16:00:00.009,6.097e-05
2026-05-28 00:00:00.001,2.421e-05
2026-05-28 08:00:00.000,2.543e-05
2026-05-28 16:00:00.001,2.984e-05
2026-05-29 00:00:00.000,8.553e-05
2026-05-29 08:00:00.001,7.04e-05
2026-05-29 16:00:00.008,6.595e-05
2026-05-30 00:00:00.000,4.54e-05
2026-05-30 08:00:00.001,6.842e-05
2026-05-30 16:00:00.000,5.705e-05
2026-05-31 00:00:00.000,9.397e-05
2026-05-31 08:00:00.000,7.226e-05
2026-05-31 16:00:00.004,1.691e-05
2026-06-01 00:00:00.001,6.445e-05
2026-06-01 08:00:00.001,5.339e-05
2026-06-01 16:00:00.000,9.572e-05
2026-06-02 00:00:00.000,0.0001
2026-06-02 08:00:00.000,0.0001
2026-06-02 16:00:00.000,5.699e-05
2026-06-03 00:00:00.013,2.021e-05
2026-06-03 08:00:00.000,9.862e-05
2026-06-03 16:00:00.001,7.361e-05
2026-06-04 00:00:00.009,7.651e-05
2026-06-04 08:00:00.000,4.482e-05
2026-06-04 16:00:00.003,3.946e-05
2026-06-05 00:00:00.000,4.67e-05
2026-06-05 08:00:00.004,-3.129e-05
2026-06-05 16:00:00.009,-7.387e-05
2026-06-06 00:00:00.000,-7.917e-05
2026-06-06 08:00:00.000,-3.161e-05
2026-06-06 16:00:00.000,-3.461e-05
2026-06-07 00:00:00.001,-6.624e-05
2026-06-07 08:00:00.000,-0.00010189
2026-06-07 16:00:00.000,4.72e-06
2026-06-08 00:00:00.000,-8.235e-05
2026-06-08 08:00:00.005,-6.599e-05
2026-06-08 16:00:00.004,-4.515e-05
2026-06-09 00:00:00.000,-4.506e-05
2026-06-09 08:00:00.000,3.6e-07
2026-06-09 16:00:00.001,-5.182e-05
2026-06-10 00:00:00.001,-4.089e-05
2026-06-10 08:00:00.011,-4.578e-05
2026-06-10 16:00:00.009,-3.121e-05
2026-06-11 00:00:00.000,-3.684e-05
2026-06-11 08:00:00.004,7.54e-06
2026-06-11 16:00:00.000,-2.432e-05
2026-06-12 00:00:00.000,-2.404e-05
2026-06-12 08:00:00.000,-5.854e-05
2026-06-12 16:00:00.000,-2.216e-05
2026-06-13 00:00:00.000,-6.31e-06
2026-06-13 08:00:00.007,3.562e-05
2026-06-13 16:00:00.002,2.664e-05
2026-06-14 00:00:00.005,-6.44e-06
2026-06-14 08:00:00.009,-1.08e-05
2026-06-14 16:00:00.000,-1.919e-05
2026-06-15 00:00:00.013,2.92e-05
2026-06-15 08:00:00.013,-7.45e-06
2026-06-15 16:00:00.004,6.867e-05
2026-06-16 00:00:00.000,2.969e-05
2026-06-16 08:00:00.000,-2.07e-05
2026-06-16 16:00:00.001,3.16e-05
2026-06-17 00:00:00.012,3.038e-05
2026-06-17 08:00:00.000,2.339e-05
2026-06-17 16:00:00.000,-7.37e-06
2026-06-18 00:00:00.002,4.63e-05
2026-06-18 08:00:00.000,6.87e-06
2026-06-18 16:00:00.001,-6.91e-06
2026-06-19 00:00:00.005,6.551e-05
2026-06-19 08:00:00.001,-2.067e-05
2026-06-19 16:00:00.001,-2.7e-07
2026-06-20 00:00:00.001,2.505e-05
2026-06-20 08:00:00.000,3.17e-05
2026-06-20 16:00:00.001,3.209e-05
2026-06-21 00:00:00.000,2.892e-05
2026-06-21 08:00:00.000,2.602e-05
2026-06-21 16:00:00.000,7.57e-06
2026-06-22 00:00:00.000,3.88e-05
2026-06-22 08:00:00.000,1.941e-05
2026-06-22 16:00:00.002,7.89e-06
2026-06-23 00:00:00.003,2.37e-05
2026-06-23 08:00:00.005,3.35e-06
2026-06-23 16:00:00.002,-3.854e-05
2026-06-24 00:00:00.005,4.579e-05
2026-06-24 08:00:00.005,2.212e-05
2026-06-24 16:00:00.003,4.3e-07
2026-06-25 00:00:00.000,5.42e-06
2026-06-25 08:00:00.000,4.282e-05
2026-06-25 16:00:00.000,-8.135e-05
2026-06-26 00:00:00.010,-1.665e-05
2026-06-26 08:00:00.002,-1.968e-05
2026-06-26 16:00:00.000,5.22e-06
2026-06-27 00:00:00.000,1.807e-05
2026-06-27 08:00:00.000,-5.97e-06
2026-06-27 16:00:00.009,1.769e-05
2026-06-28 00:00:00.000,-5.389e-05
2026-06-28 08:00:00.013,-2.947e-05
2026-06-28 16:00:00.000,1.924e-05
2026-06-29 00:00:00.006,-1.85e-06
2026-06-29 08:00:00.013,2.16e-06
2026-06-29 16:00:00.004,2.144e-05
2026-06-30 00:00:00.000,4.49e-05
2026-06-30 08:00:00.000,4.566e-05
2026-06-30 16:00:00.005,3.059e-05
2026-07-01 00:00:00.000,6.151e-05
2026-07-01 08:00:00.000,5.33e-05
2026-07-01 16:00:00.000,2.077e-05
2026-07-02 00:00:00.000,1.96e-05
2026-07-02 08:00:00.000,5.02e-05
2026-07-02 16:00:00.000,7.321e-05
2026-07-03 00:00:00.000,7.837e-05
